t elem X Y Z Vx Vy Vz m C 
0 0 5 10 0 0 0 0 10 0
0.1 0 5.0025 10.006 0.0005 0.05 0.12 0.01 10 0
0.2 0 5.01 10.024 0.002 0.1 0.24 0.02 10 0
0.3 0 5.0225 10.054 0.0045 0.15 0.36 0.03 10 0
0.4 0 5.04 10.096 0.008 0.2 0.48 0.04 10 0
0.5 0 5.0625 10.15 0.0125 0.25 0.6 0.05 10 0
0.6 0 5.09 10.216 0.018 0.3 0.72 0.06 10 0
0.7 0 5.1225 10.294 0.0245 0.35 0.84 0.07 10 0
0.8 0 5.16 10.384 0.032 0.4 0.96 0.08 10 0
0.9 0 5.2025 10.486 0.0405 0.45 1.08 0.09 10 0
1 0 5.25 10.6 0.05 0.5 1.2 0.1 10 0
1.1 0 5.3025 10.726 0.0605 0.55 1.32 0.11 10 0
1.2 0 5.36 10.864 0.072 0.6 1.44 0.12 10 0
1.3 0 5.4225 11.014 0.0845 0.65 1.56 0.13 10 0
1.4 0 5.49 11.176 0.098 0.7 1.68 0.14 10 0
1.5 0 5.5625 11.35 0.1125 0.75 1.8 0.15 10 0
1.6 0 5.64 11.536 0.128 0.8 1.92 0.16 10 0
1.7 0 5.7225 11.734 0.1445 0.85 2.04 0.17 10 0
1.8 0 5.81 11.944 0.162 0.9 2.16 0.18 10 0
1.9 0 5.9025 12.166 0.1805 0.95 2.28 0.19 10 0
2 0 6 12.4 0.2 1 2.4 0.2 10 0
2.1 0 6.1025 12.646 0.2205 1.05 2.52 0.21 10 0
2.2 0 6.21 12.904 0.242 1.1 2.64 0.22 10 0
2.3 0 6.3225 13.174 0.2645 1.15 2.76 0.23 10 0
2.4 0 6.44 13.456 0.288 1.2 2.88 0.24 10 0
2.5 0 6.5625 13.75 0.3125 1.25 3 0.25 10 0
2.6 0 6.69 14.056 0.338 1.3 3.12 0.26 10 0
2.7 0 6.8225 14.374 0.3645 1.35 3.24 0.27 10 0
2.8 0 6.96 14.704 0.392 1.4 3.36 0.28 10 0
2.9 0 7.1025 15.046 0.4205 1.45 3.48 0.29 10 0
3 0 7.25 15.4 0.45 1.5 3.6 0.3 10 0
3.1 0 7.4025 15.766 0.4805 1.55 3.72 0.31 10 0
3.2 0 7.56 16.144 0.512 1.6 3.84 0.32 10 0
3.3 0 7.7225 16.534 0.5445 1.65 3.96 0.33 10 0
3.4 0 7.89 16.936 0.578 1.7 4.08 0.34 10 0
3.5 0 8.0625 17.35 0.6125 1.75 4.2 0.35 10 0
3.6 0 8.24 17.776 0.648 1.8 4.32 0.36 10 0
3.7 0 8.4225 18.214 0.6845 1.85 4.44 0.37 10 0
3.8 0 8.61 18.664 0.722 1.9 4.56 0.38 10 0
3.9 0 8.8025 19.126 0.7605 1.95 4.68 0.39 10 0
4 0 9 19.6 0.8 2 4.8 0.4 10 0
4.1 0 9.2025 20.086 0.8405 2.05 4.92 0.41 10 0
4.2 0 9.41 20.584 0.882 2.1 5.04 0.42 10 0
4.3 0 9.6225 21.094 0.9245 2.15 5.16 0.43 10 0
4.4 0 9.84 21.616 0.968 2.2 5.28 0.44 10 0
4.5 0 10.0625 22.15 1.0125 2.25 5.4 0.45 10 0
4.6 0 10.29 22.696 1.058 2.3 5.52 0.46 10 0
4.7 0 10.5225 23.254 1.1045 2.35 5.64 0.47 10 0
4.8 0 10.76 23.824 1.152 2.4 5.76 0.48 10 0
4.9 0 11.0025 24.406 1.2005 2.45 5.88 0.49 10 0
5 0 11.25 25 1.25 2.5 6 0.5 10 0
5.1 0 11.5025 25.606 1.3005 2.55 6.12 0.51 10 0
5.2 0 11.76 26.224 1.352 2.6 6.24 0.52 10 0
5.3 0 12.0225 26.854 1.4045 2.65 6.36 0.53 10 0
5.4 0 12.29 27.496 1.458 2.7 6.48 0.54 10 0
5.5 0 12.5625 28.15 1.5125 2.75 6.6 0.55 10 0
5.6 0 12.84 28.816 1.568 2.8 6.72 0.56 10 0
5.7 0 13.1225 29.494 1.6245 2.85 6.84 0.57 10 0
5.8 0 13.41 30.184 1.682 2.9 6.96 0.58 10 0
5.9 0 13.7025 30.886 1.7405 2.95 7.08 0.59 10 0
6 0 14 31.6 1.8 3 7.2 0.6 10 0
6.1 0 14.3025 32.326 1.8605 3.05 7.32 0.61 10 0
6.2 0 14.61 33.064 1.922 3.1 7.44 0.62 10 0
6.3 0 14.9225 33.814 1.9845 3.15 7.56 0.63 10 0
6.4 0 15.24 34.576 2.048 3.2 7.68 0.64 10 0
6.5 0 15.5625 35.35 2.1125 3.25 7.8 0.65 10 0
6.6 0 15.89 36.136 2.178 3.3 7.92 0.66 10 0
6.7 0 16.2225 36.934 2.2445 3.35 8.04 0.67 10 0
6.8 0 16.56 37.744 2.312 3.4 8.16 0.68 10 0
6.9 0 16.9025 38.566 2.3805 3.45 8.28 0.69 10 0
7 0 17.25 39.4 2.45 3.5 8.4 0.7 10 0
7.1 0 17.6025 40.246 2.5205 3.55 8.52 0.71 10 0
7.2 0 17.96 41.104 2.592 3.6 8.64 0.72 10 0
7.3 0 18.3225 41.974 2.6645 3.65 8.76 0.73 10 0
7.4 0 18.69 42.856 2.738 3.7 8.88 0.74 10 0
7.5 0 19.0625 43.75 2.8125 3.75 9 0.75 10 0
7.6 0 19.44 44.656 2.888 3.8 9.12 0.76 10 0
7.7 0 19.8225 45.574 2.9645 3.85 9.24 0.77 10 0
7.8 0 20.21 46.504 3.042 3.9 9.36 0.78 10 0
7.9 0 20.6025 47.446 3.1205 3.95 9.48 0.79 10 0
8 0 21 48.4 3.2 4 9.6 0.8 10 0
8.1 0 21.4025 49.366 3.2805 4.05 9.72 0.81 10 0
8.2 0 21.81 50.344 3.362 4.1 9.84 0.82 10 0
8.3 0 22.2225 51.334 3.4445 4.15 9.96 0.83 10 0
8.4 0 22.64 52.336 3.528 4.2 10.08 0.84 10 0
8.5 0 23.0625 53.35 3.6125 4.25 10.2 0.85 10 0
8.6 0 23.49 54.376 3.698 4.3 10.32 0.86 10 0
8.7 0 23.9225 55.414 3.7845 4.35 10.44 0.87 10 0
8.8 0 24.36 56.464 3.872 4.4 10.56 0.88 10 0
8.9 0 24.8025 57.526 3.9605 4.45 10.68 0.89 10 0
9 0 25.25 58.6 4.05 4.5 10.8 0.9 10 0
9.1 0 25.7025 59.686 4.1405 4.55 10.92 0.91 10 0
9.2 0 26.16 60.784 4.232 4.6 11.04 0.92 10 0
9.3 0 26.6225 61.894 4.3245 4.65 11.16 0.93 10 0
9.4 0 27.09 63.016 4.418 4.7 11.28 0.94 10 0
9.5 0 27.5625 64.15 4.5125 4.75 11.4 0.95 10 0
9.6 0 28.04 65.296 4.608 4.8 11.52 0.96 10 0
9.7 0 28.5225 66.454 4.7045 4.85 11.64 0.97 10 0
9.8 0 29.01 67.624 4.802 4.9 11.76 0.98 10 0
9.9 0 29.5025 68.806 4.9005 4.95 11.88 0.99 10 0
10 0 30 70 5 5 12 1 10 0
10.1 0 30.5025 71.206 5.1005 5.05 12.12 1.01 10 0
10.2 0 31.01 72.424 5.202 5.1 12.24 1.02 10 0
10.3 0 31.5225 73.654 5.3045 5.15 12.36 1.03 10 0
10.4 0 32.04 74.896 5.408 5.2 12.48 1.04 10 0
10.5 0 32.5625 76.15 5.5125 5.25 12.6 1.05 10 0
10.6 0 33.09 77.416 5.618 5.3 12.72 1.06 10 0
10.7 0 33.6225 78.694 5.7245 5.35 12.84 1.07 10 0
10.8 0 34.16 79.984 5.832 5.4 12.96 1.08 10 0
10.9 0 34.7025 81.286 5.9405 5.45 13.08 1.09 10 0
11 0 35.25 82.6 6.05 5.5 13.2 1.1 10 0
11.1 0 35.8025 83.926 6.1605 5.55 13.32 1.11 10 0
11.2 0 36.36 85.264 6.272 5.6 13.44 1.12 10 0
11.3 0 36.9225 86.614 6.3845 5.65 13.56 1.13 10 0
11.4 0 37.49 87.976 6.498 5.7 13.68 1.14 10 0
11.5 0 38.0625 89.35 6.6125 5.75 13.8 1.15 10 0
11.6 0 38.64 90.736 6.728 5.8 13.92 1.16 10 0
11.7 0 39.2225 92.134 6.8445 5.85 14.04 1.17 10 0
11.8 0 39.81 93.544 6.962 5.9 14.16 1.18 10 0
11.9 0 40.4025 94.966 7.0805 5.95 14.28 1.19 10 0
12 0 41 96.4 7.2 6 14.4 1.2 10 0
12.1 0 41.6025 97.846 7.3205 6.05 14.52 1.21 10 0
12.2 0 42.21 99.304 7.442 6.1 14.64 1.22 10 0
12.3 0 42.8225 100.774 7.5645 6.15 14.76 1.23 10 0
12.4 0 43.44 102.256 7.688 6.2 14.88 1.24 10 0
12.5 0 44.0625 103.75 7.8125 6.25 15 1.25 10 0
12.6 0 44.69 105.256 7.938 6.3 15.12 1.26 10 0
12.7 0 45.3225 106.774 8.0645 6.35 15.24 1.27 10 0
12.8 0 45.96 108.304 8.192 6.4 15.36 1.28 10 0
12.9 0 46.6025 109.846 8.3205 6.45 15.48 1.29 10 0
13 0 47.25 111.4 8.45 6.5 15.6 1.3 10 0
13.1 0 47.9025 112.966 8.5805 6.55 15.72 1.31 10 0
13.2 0 48.56 114.544 8.712 6.6 15.84 1.32 10 0
13.3 0 49.2225 116.134 8.8445 6.65 15.96 1.33 10 0
13.4 0 49.89 117.736 8.978 6.7 16.08 1.34 10 0
13.5 0 50.5625 119.35 9.1125 6.75 16.2 1.35 10 0
13.6 0 51.24 120.976 9.248 6.8 16.32 1.36 10 0
13.7 0 51.9225 122.614 9.3845 6.85 16.44 1.37 10 0
13.8 0 52.61 124.264 9.522 6.9 16.56 1.38 10 0
13.9 0 53.3025 125.926 9.6605 6.95 16.68 1.39 10 0
14 0 54 127.6 9.8 7 16.8 1.4 10 0
14.1 0 54.7025 129.286 9.9405 7.05 16.92 1.41 10 0
14.2 0 55.41 130.984 10.082 7.1 17.04 1.42 10 0
14.3 0 56.1225 132.694 10.2245 7.15 17.16 1.43 10 0
14.4 0 56.84 134.416 10.368 7.2 17.28 1.44 10 0
14.5 0 57.5625 136.15 10.5125 7.25 17.4 1.45 10 0
14.6 0 58.29 137.896 10.658 7.3 17.52 1.46 10 0
14.7 0 59.0225 139.654 10.8045 7.35 17.64 1.47 10 0
14.8 0 59.76 141.424 10.952 7.4 17.76 1.48 10 0
14.9 0 60.5025 143.206 11.1005 7.45 17.88 1.49 10 0
15 0 61.25 145 11.25 7.5 18 1.5 10 0
15.1 0 62.0025 146.806 11.4005 7.55 18.12 1.51 10 0
15.2 0 62.76 148.624 11.552 7.6 18.24 1.52 10 0
15.3 0 63.5225 150.454 11.7045 7.65 18.36 1.53 10 0
15.4 0 64.29 152.296 11.858 7.7 18.48 1.54 10 0
15.5 0 65.0625 154.15 12.0125 7.75 18.6 1.55 10 0
15.6 0 65.84 156.016 12.168 7.8 18.72 1.56 10 0
15.7 0 66.6225 157.894 12.3245 7.85 18.84 1.57 10 0
15.8 0 67.41 159.784 12.482 7.9 18.96 1.58 10 0
15.9 0 68.2025 161.686 12.6405 7.95 19.08 1.59 10 0
16 0 69 163.6 12.8 8 19.2 1.6 10 0
16.1 0 69.8025 165.526 12.9605 8.05 19.32 1.61 10 0
16.2 0 70.61 167.464 13.122 8.1 19.44 1.62 10 0
16.3 0 71.4225 169.414 13.2845 8.15 19.56 1.63 10 0
16.4 0 72.24 171.376 13.448 8.2 19.68 1.64 10 0
